iter	Logloss
0	0.6890703091
1	0.6861053282
2	0.6836126238
3	0.6816786618
4	0.680178557
5	0.6787740184
6	0.6776732966
7	0.6768584197
8	0.6761235847
9	0.6753454644
10	0.6748336512
11	0.6743293751
12	0.6737880257
13	0.673441681
14	0.6730516914
15	0.6727883913
16	0.6723289367
17	0.67207269
18	0.6718470757
19	0.6716103195
20	0.6712892587
21	0.6711319581
22	0.6709265981
23	0.6707406562
24	0.67054394
25	0.6703831207
26	0.6702161105
27	0.6700341262
28	0.6698753239
29	0.6696921103
30	0.6695344012
31	0.6693809324
32	0.6692276061
33	0.6690324412
34	0.6688793536
35	0.6687792816
36	0.6686103311
37	0.6684940389
38	0.6684018013
39	0.6682820524
40	0.6680936932
41	0.6679716261
42	0.6678390522
43	0.6677188672
44	0.667630841
45	0.6675666318
46	0.6674596942
47	0.6673442802
48	0.66724277
49	0.6671219725
50	0.6670343257
51	0.666917074
52	0.6668332105
53	0.666733851
54	0.6666080761
55	0.6664861967
56	0.6664084262
57	0.6663244477
58	0.6662332658
59	0.6661055041
60	0.6660082468
61	0.6658986384
62	0.6657882571
63	0.6657147844
64	0.665617759
65	0.665497687
66	0.6654079907
67	0.6652926409
68	0.6652181994
69	0.6650814034
70	0.6649741026
71	0.6648717739
72	0.664792909
73	0.6647231688
74	0.664667656
75	0.6645899232
76	0.6645028833
77	0.6644346249
78	0.6643649977
79	0.6642730047
80	0.664217924
81	0.6641314711
82	0.6640502345
83	0.6639447539
84	0.6639079658
85	0.663802934
86	0.6637511324
87	0.6636455916
88	0.6635844325
89	0.6635100387
90	0.6634312348
91	0.6633480076
92	0.6632824502
93	0.6631944745
94	0.6630978898
95	0.6630213887
96	0.6629400739
97	0.6628597645
98	0.6627794634
99	0.6626851776
100	0.6625862881
101	0.6625182194
102	0.6624242339
103	0.6623776104
104	0.6622835351
105	0.6622290608
106	0.6621403047
107	0.6620725508
108	0.6619603764
109	0.6618512353
110	0.6617575982
111	0.6616692915
112	0.6615972535
113	0.6615290197
114	0.6614582323
115	0.6614105468
116	0.6613431964
117	0.6612638576
118	0.6611635476
119	0.6611087315
120	0.6610203686
121	0.6609362449
122	0.6608333732
123	0.6607757466
124	0.660695652
125	0.6606246297
126	0.660520291
127	0.6604231484
128	0.6603647043
129	0.6602702309
130	0.6602151753
131	0.6601532953
132	0.6600745746
133	0.6600178222
134	0.6599440877
135	0.6598725816
136	0.6597659997
137	0.6596953644
138	0.6596265806
139	0.6595668254
140	0.6594924415
141	0.6594082033
142	0.6593272288
143	0.6592668146
144	0.6591918476
145	0.6591192071
146	0.6590605237
147	0.6589923488
148	0.6589306621
149	0.6588550942
150	0.6588045023
151	0.6587498956
152	0.6586909078
153	0.6586219072
154	0.6585601795
155	0.658474759
156	0.6584158472
157	0.6583497529
158	0.6582684152
159	0.6581991967
160	0.6581328512
161	0.6580790627
162	0.6580089562
163	0.6579624499
164	0.6578770152
165	0.6578110896
166	0.657747526
167	0.6576799616
168	0.6576217835
169	0.6575571508
170	0.6575097114
171	0.6574503024
172	0.6573988859
173	0.6573419406
174	0.6572829979
175	0.6572122299
176	0.6571738931
177	0.6571094644
178	0.657061739
179	0.656997254
180	0.6569271103
181	0.6568792965
182	0.656819454
183	0.6567679135
184	0.6567103291
