iter	Passed	Remaining
472	747	833
473	749	831
474	750	829
475	752	828
476	753	826
477	755	824
478	757	823
479	758	822
480	760	820
481	761	818
482	763	817
483	764	815
484	766	813
485	767	811
486	769	810
487	771	809
488	773	808
489	774	806
490	776	805
491	778	803
492	779	801
493	781	800
494	782	798
495	784	796
496	785	795
497	787	794
498	789	792
499	791	791
500	792	789
501	794	787
502	795	786
503	797	784
504	798	782
505	800	781
506	802	780
507	804	778
508	805	777
509	807	776
510	809	774
511	810	772
512	812	771
513	814	769
514	815	768
515	817	766
516	819	765
517	821	764
518	822	762
519	824	760
520	826	759
521	827	758
522	829	756
523	830	754
524	832	753
525	834	752
526	836	750
527	837	749
528	839	747
529	840	745
530	842	744
531	843	742
532	845	740
533	847	739
534	849	738
535	851	737
536	853	735
537	854	734
538	856	732
539	857	730
540	859	729
541	861	727
542	862	726
543	864	725
544	866	723
545	868	722
546	869	720
547	871	718
548	872	717
549	874	715
550	876	714
551	878	712
552	880	711
553	881	709
554	883	708
555	884	706
556	886	704
557	888	703
558	889	701
559	891	700
560	893	698
561	895	697
562	896	696
563	898	694
564	899	692
565	901	691
566	903	689
567	904	688
568	906	686
569	908	685
570	910	684
571	911	682
572	913	680
573	915	679
574	916	677
575	918	675
576	919	674
577	921	672
578	923	671
579	925	669
580	926	668
581	928	666
582	930	665
583	931	663
584	933	662
585	934	660
586	936	659
587	938	657
588	940	656
589	942	654
590	943	653
591	945	651
592	947	650
593	948	648
594	950	646
595	951	645
596	953	643
597	955	642
598	957	640
599	958	639
600	960	637
601	961	635
602	963	634
603	965	632
604	966	631
605	968	629
606	969	627
607	971	626
608	973	624
609	974	623
610	976	621
611	977	619
612	979	618
613	981	616
614	984	616
615	987	615
616	990	614
617	992	613
618	995	612
619	997	611
620	1001	611
621	1004	610
622	1006	608
623	1008	607
624	1010	606
625	1012	604
626	1013	603
627	1015	601
628	1016	599
629	1019	598
630	1020	596
631	1022	595
632	1023	593
633	1025	591
634	1027	590
635	1028	588
636	1030	587
637	1031	585
638	1034	584
639	1035	582
640	1037	580
641	1038	579
642	1040	577
643	1041	575
644	1043	574
645	1045	572
646	1046	571
647	1048	569
648	1050	568
649	1051	566
650	1053	564
651	1054	562
652	1056	561
653	1057	559
654	1059	558
655	1061	556
656	1062	554
657	1064	553
658	1066	551
659	1068	550
660	1069	548
661	1071	547
662	1073	545
663	1074	543
664	1076	542
665	1077	540
666	1079	538
667	1081	537
668	1082	535
669	1084	534
670	1086	532
671	1087	530
672	1089	529
673	1091	527
674	1092	526
675	1094	524
676	1096	523
677	1097	521
678	1099	519
679	1100	518
680	1102	516
681	1103	514
682	1105	512
683	1106	511
684	1108	509
685	1110	508
686	1112	506
687	1114	505
688	1115	503
689	1117	502
690	1119	500
691	1121	499
692	1123	497
693	1124	495
694	1126	494
695	1128	492
696	1129	491
697	1131	489
698	1133	487
699	1134	486
700	1136	484
701	1137	482
702	1139	481
703	1141	479
704	1143	478
705	1144	476
706	1146	475
707	1148	473
708	1150	472
709	1151	470
710	1153	468
711	1155	467
712	1157	465
713	1159	464
714	1160	462
715	1162	461
716	1163	459
717	1165	457
718	1166	456
719	1168	454
720	1170	452
721	1172	451
722	1174	449
723	1175	448
724	1178	447
725	1181	445
726	1183	444
727	1185	442
728	1188	441
729	1190	440
730	1192	438
731	1194	437
732	1195	435
733	1197	433
734	1198	432
735	1200	430
736	1201	428
737	1203	427
738	1205	425
739	1207	424
740	1208	422
741	1210	420
